price	timestamp
62924.68	2024-05-08 12:25:02
62848.81	2024-05-08 12:30:02
62799.10	2024-05-08 12:35:02
62661.48	2024-05-08 12:40:02
62521.10	2024-05-08 12:45:02
62586.14	2024-05-08 12:50:02
62608.68	2024-05-08 12:55:02
62529.17	2024-05-08 13:00:03
62529.62	2024-05-08 13:05:02
62411.13	2024-05-08 13:10:02
62523.08	2024-05-08 13:15:02
62566.20	2024-05-08 13:20:03
62593.26	2024-05-08 13:25:02
62623.61	2024-05-08 13:30:01
62692.12	2024-05-08 13:35:01
62699.90	2024-05-08 13:40:02
62689.14	2024-05-08 13:45:02
62616.13	2024-05-08 13:50:02
62585.71	2024-05-08 13:55:02
62618.77	2024-05-08 14:00:02
62602.08	2024-05-08 14:05:02
62622.27	2024-05-08 14:10:02
62550.92	2024-05-08 14:15:06
62486.50	2024-05-08 14:20:02
62264.23	2024-05-08 14:25:02
62164.59	2024-05-08 14:30:01
62228.45	2024-05-08 14:35:02
62367.55	2024-05-08 14:40:02
62485.54	2024-05-08 14:45:02
62414.01	2024-05-08 14:50:01
62474.25	2024-05-08 14:55:02
62500.42	2024-05-08 15:00:02
62486.49	2024-05-08 15:05:02
62420.13	2024-05-08 15:10:02
62318.36	2024-05-08 15:15:02
62365.59	2024-05-08 15:20:02
62296.29	2024-05-08 15:25:02
62188.71	2024-05-08 15:30:02
62192.78	2024-05-08 15:35:02
62268.38	2024-05-08 15:40:02
62256.38	2024-05-08 15:45:02
62309.44	2024-05-08 15:50:02
62251.84	2024-05-08 15:55:02
62206.40	2024-05-08 16:00:02
62194.09	2024-05-08 16:05:02
62163.52	2024-05-08 16:10:02
62130.96	2024-05-08 16:15:06
62223.59	2024-05-08 16:20:07
62329.45	2024-05-08 16:25:02
62333.90	2024-05-08 16:30:02
62288.89	2024-05-08 16:35:02
62381.35	2024-05-08 16:40:02
62293.61	2024-05-08 16:45:03
62137.80	2024-05-08 16:50:02
62139.28	2024-05-08 16:55:02
62271.88	2024-05-08 17:00:02
62395.95	2024-05-08 17:05:02
62324.96	2024-05-08 17:10:04
62278.85	2024-05-08 17:15:02
62283.52	2024-05-08 17:20:04
62206.25	2024-05-08 17:25:03
62228.04	2024-05-08 17:30:03
62156.91	2024-05-08 17:35:03
62141.55	2024-05-08 17:40:02
62156.77	2024-05-08 17:45:03
62091.32	2024-05-08 17:50:02
62220.32	2024-05-08 17:55:02
62315.29	2024-05-08 18:00:02
62272.07	2024-05-08 18:05:07
62284.33	2024-05-08 18:10:02
62312.70	2024-05-08 18:15:04
62359.73	2024-05-08 18:20:05
62431.03	2024-05-08 18:25:02
62444.75	2024-05-08 18:30:02
62444.95	2024-05-08 18:35:02
62445.47	2024-05-08 18:40:03
62373.62	2024-05-08 18:45:02
62435.74	2024-05-08 18:50:02
62427.45	2024-05-08 18:55:07
62460.61	2024-05-08 19:00:02
62418.13	2024-05-08 19:05:07
62450.40	2024-05-08 19:10:02
62289.18	2024-05-08 19:15:03
62288.96	2024-05-08 19:20:02
62248.99	2024-05-08 19:25:02
62155.38	2024-05-08 19:30:02
62212.09	2024-05-08 19:35:04
62237.70	2024-05-08 19:40:02
62353.86	2024-05-08 19:45:02
62320.04	2024-05-08 19:50:03
62382.84	2024-05-08 19:55:02
62282.54	2024-05-08 20:00:03
62246.60	2024-05-08 20:05:03
62340.46	2024-05-08 20:10:02
62383.12	2024-05-08 20:15:02
62391.39	2024-05-08 20:20:02
62333.29	2024-05-08 20:25:03
62363.61	2024-05-08 20:30:02
62337.75	2024-05-08 20:35:01
62191.19	2024-05-08 20:40:02
62200.55	2024-05-08 20:45:02
62185.11	2024-05-08 20:50:03
62181.88	2024-05-08 20:55:04
62170.07	2024-05-08 21:00:01
62226.29	2024-05-08 21:05:02
62073.09	2024-05-08 21:10:03
61922.85	2024-05-08 21:15:02
62066.62	2024-05-08 21:20:02
62087.49	2024-05-08 21:25:03
62078.45	2024-05-08 21:30:02
62010.84	2024-05-08 21:35:02
62078.45	2024-05-08 21:40:02
61876.44	2024-05-08 21:45:02
61960.57	2024-05-08 21:50:01
62109.07	2024-05-08 21:55:02
62229.82	2024-05-08 22:00:02
62349.28	2024-05-08 22:05:01
62333.95	2024-05-08 22:10:02
62218.17	2024-05-08 22:15:02
62289.78	2024-05-08 22:20:02
62408.73	2024-05-08 22:25:02
62570.34	2024-05-08 22:30:02
62462.38	2024-05-08 22:35:02
62539.82	2024-05-08 22:40:02
62566.40	2024-05-08 22:45:03
62622.33	2024-05-08 22:50:02
62656.75	2024-05-08 22:55:03
62597.13	2024-05-08 23:00:02
62540.39	2024-05-08 23:05:01
62524.68	2024-05-08 23:10:02
62503.41	2024-05-08 23:15:03
62027.23	2024-05-08 23:20:02
62079.30	2024-05-08 23:25:03
62025.11	2024-05-08 23:30:07
62107.16	2024-05-08 23:35:02
62314.40	2024-05-08 23:40:02
62268.94	2024-05-08 23:45:03
62272.71	2024-05-08 23:50:02
62465.62	2024-05-08 23:55:03
62307.57	2024-05-09 00:00:02
62278.23	2024-05-09 00:05:02
62087.13	2024-05-09 00:10:02
62091.30	2024-05-09 00:15:02
62222.45	2024-05-09 00:20:02
62238.49	2024-05-09 00:25:02
62283.14	2024-05-09 00:30:02
62283.14	2024-05-09 00:35:02
62283.14	2024-05-09 00:40:07
62353.06	2024-05-09 00:45:02
62250.77	2024-05-09 00:50:02
62328.39	2024-05-09 00:55:03
62401.16	2024-05-09 01:00:04
62423.76	2024-05-09 01:05:01
62563.71	2024-05-09 01:10:02
62529.19	2024-05-09 01:15:02
62539.95	2024-05-09 01:20:02
62542.95	2024-05-09 01:25:02
62513.39	2024-05-09 01:30:03
62592.82	2024-05-09 01:35:02
62578.06	2024-05-09 01:40:03
62578.06	2024-05-09 01:45:01
62509.09	2024-05-09 01:50:07
62553.34	2024-05-09 01:55:02
62570.87	2024-05-09 02:00:03
62542.96	2024-05-09 02:05:01
62602.03	2024-05-09 02:10:01
62606.56	2024-05-09 02:15:02
62692.95	2024-05-09 02:20:02
62726.46	2024-05-09 02:25:02
62690.26	2024-05-09 02:30:01
62697.12	2024-05-09 02:35:02
62545.56	2024-05-09 02:40:02
62577.26	2024-05-09 02:45:03
62499.67	2024-05-09 02:50:02
62460.25	2024-05-09 02:55:01
62472.32	2024-05-09 03:00:02
62483.58	2024-05-09 03:05:02
62492.41	2024-05-09 03:10:02
62401.79	2024-05-09 03:15:02
62278.72	2024-05-09 03:20:02
62175.52	2024-05-09 03:25:02
62010.88	2024-05-09 03:30:02
62101.77	2024-05-09 03:35:02
62161.50	2024-05-09 03:40:02
62227.72	2024-05-09 03:45:02
62373.87	2024-05-09 03:50:02
62373.87	2024-05-09 03:55:02
62277.42	2024-05-09 04:00:03
62154.32	2024-05-09 04:05:02
62146.86	2024-05-09 04:10:02
62079.08	2024-05-09 04:15:03
62031.35	2024-05-09 04:20:03
61771.23	2024-05-09 04:25:03
61782.35	2024-05-09 04:30:02
61642.65	2024-05-09 04:35:04
61659.63	2024-05-09 04:40:03
61618.82	2024-05-09 04:45:02
61569.25	2024-05-09 04:50:02
61588.77	2024-05-09 04:55:02
61582.35	2024-05-09 05:00:02
61485.86	2024-05-09 05:05:01
61547.69	2024-05-09 05:10:02
61504.05	2024-05-09 05:15:07
61500.08	2024-05-09 05:20:03
61394.79	2024-05-09 05:25:03
61499.17	2024-05-09 05:30:02
61694.98	2024-05-09 05:35:07
61571.34	2024-05-09 05:40:02
61558.68	2024-05-09 05:45:02
61618.97	2024-05-09 05:50:02
61528.00	2024-05-09 05:55:02
61440.26	2024-05-09 06:00:07
61469.69	2024-05-09 06:05:02
61480.09	2024-05-09 06:10:02
61476.96	2024-05-09 06:15:01
61132.41	2024-05-09 06:20:03
61283.12	2024-05-09 06:25:01
61282.43	2024-05-09 06:30:02
61352.07	2024-05-09 06:35:02
61282.40	2024-05-09 06:40:02
61293.39	2024-05-09 06:45:02
61237.38	2024-05-09 06:50:02
61269.46	2024-05-09 06:55:03
61227.17	2024-05-09 07:00:02
61221.68	2024-05-09 07:05:02
61068.69	2024-05-09 07:10:03
60999.03	2024-05-09 07:15:02
61107.44	2024-05-09 07:20:02
60901.34	2024-05-09 07:25:02
60904.20	2024-05-09 07:30:02
60991.77	2024-05-09 07:35:02
60991.77	2024-05-09 07:40:02
61047.21	2024-05-09 07:45:02
61119.74	2024-05-09 07:50:02
61232.59	2024-05-09 07:55:02
